timestamp,event_type,user,ip,message
2025-03-31 19:43:41,ERROR,admin,172.16.0.2,Error crítico en el sistema detectado por el usuario admin
2025-03-31 19:43:41,INFO,root,185.199.108.153,Evento normal registrado para usuario root desde 185.199.108.153
2025-03-31 19:43:41,DEBUG,root,203.0.113.45,Modo depuración activo por usuario root
2025-03-31 19:43:41,WARNING,admin,172.16.0.2,Posible anomalía detectada desde la IP 172.16.0.2
2025-03-31 19:43:41,INFO,user2,203.0.113.45,Evento normal registrado para usuario user2 desde 203.0.113.45
2025-03-31 19:43:41,INFO,user2,172.16.0.2,Evento normal registrado para usuario user2 desde 172.16.0.2
2025-03-31 19:43:41,WARNING,guest,172.16.0.2,Posible anomalía detectada desde la IP 172.16.0.2
2025-03-31 19:43:41,INFO,root,10.0.0.1,Evento normal registrado para usuario root desde 10.0.0.1
2025-03-31 19:43:41,INFO,user1,172.16.0.2,Evento normal registrado para usuario user1 desde 172.16.0.2
2025-03-31 19:43:41,DEBUG,guest,192.168.1.10,Modo depuración activo por usuario guest
2025-03-31 19:43:41,INFO,user2,185.199.108.153,Evento normal registrado para usuario user2 desde 185.199.108.153
2025-03-31 19:43:41,ERROR,user2,10.0.0.1,Error crítico en el sistema detectado por el usuario user2
2025-03-31 19:43:41,WARNING,test,192.168.1.10,Posible anomalía detectada desde la IP 192.168.1.10
2025-03-31 19:43:41,INFO,admin,185.199.108.153,Evento normal registrado para usuario admin desde 185.199.108.153
2025-03-31 19:43:41,ERROR,user1,203.0.113.45,Error crítico en el sistema detectado por el usuario user1
2025-03-31 19:43:41,INFO,admin,192.168.1.10,Evento normal registrado para usuario admin desde 192.168.1.10
2025-03-31 19:43:41,INFO,user1,192.168.1.10,Evento normal registrado para usuario user1 desde 192.168.1.10
2025-03-31 19:43:41,INFO,root,172.16.0.2,Evento normal registrado para usuario root desde 172.16.0.2
2025-03-31 19:43:41,WARNING,guest,203.0.113.45,Posible anomalía detectada desde la IP 203.0.113.45
2025-03-31 19:43:41,INFO,user2,185.199.108.153,Evento normal registrado para usuario user2 desde 185.199.108.153
2025-03-31 19:43:41,INFO,admin,203.0.113.45,Evento normal registrado para usuario admin desde 203.0.113.45
2025-03-31 19:43:41,ERROR,admin,172.16.0.2,Error crítico en el sistema detectado por el usuario admin
2025-03-31 19:43:41,INFO,user2,10.0.0.1,Evento normal registrado para usuario user2 desde 10.0.0.1
2025-03-31 19:43:41,INFO,user1,203.0.113.45,Evento normal registrado para usuario user1 desde 203.0.113.45
2025-03-31 19:43:41,ERROR,test,203.0.113.45,Error crítico en el sistema detectado por el usuario test
2025-03-31 19:43:41,INFO,user2,10.0.0.1,Evento normal registrado para usuario user2 desde 10.0.0.1
2025-03-31 19:43:41,DEBUG,user2,185.199.108.153,Modo depuración activo por usuario user2
2025-03-31 19:43:41,INFO,user1,192.168.1.15,Evento normal registrado para usuario user1 desde 192.168.1.15
2025-03-31 19:43:41,INFO,test,185.199.108.153,Evento normal registrado para usuario test desde 185.199.108.153
2025-03-31 19:43:41,INFO,admin,203.0.113.45,Evento normal registrado para usuario admin desde 203.0.113.45
2025-03-31 19:43:41,INFO,test,8.8.8.8,Evento normal registrado para usuario test desde 8.8.8.8
2025-03-31 19:43:41,WARNING,user2,192.168.1.15,Posible anomalía detectada desde la IP 192.168.1.15
2025-03-31 19:43:41,INFO,root,192.168.1.10,Evento normal registrado para usuario root desde 192.168.1.10
2025-03-31 19:43:41,DEBUG,test,172.16.0.2,Modo depuración activo por usuario test
2025-03-31 19:43:41,INFO,root,203.0.113.45,Evento normal registrado para usuario root desde 203.0.113.45
2025-03-31 19:43:41,INFO,guest,172.16.0.2,Evento normal registrado para usuario guest desde 172.16.0.2
